Mine,File,Time,Triangle Count,Trust,File,Time,Triangle Count,H-index,File,Time,Triangle Count
,amazon0302,0.905,717719,,amazon0302,0.595,717719,,amazon0302_adj,0.519991,717719
,amazon0312,2.579,3686467,,amazon0312,1.066,3686467,,amazon0312_adj,1.40595,3686467
,amazon0505,2.354,3951063,,amazon0505,1.076,3951063,,amazon0505_adj,1.45721,3951063
,amazon0601,2.712,3986507,,amazon0601,1.099,3986507,,amazon0601_adj,1.45006,3986507
,as20000102,0.062,6584,,as20000102,0.115,6584,,as20000102_adj,0.0350475,6584
,as-caida20071105,0.08,36365,,as-caida20071105,0.15,36365,,as-caida20071105_adj,0.0600815,36365
,ca-AstroPh,0.33,1351441,,ca-AstroPh,0.304,1351441,,ca-AstroPh_adj,0.188112,1351441
,ca-CondMat,0.146,173361,,ca-CondMat,0.229,173361,,ca-CondMat_adj,0.0720024,173361
,ca-GrQc,0.109,48260,,ca-GrQc,0.156,48260,,ca-GrQc_adj,0.0371933,48260
,ca-HepPh,0.319,3678962,,ca-HepPh,0.498,3678962,,ca-HepPh_adj,0.223875,3678962
,ca-HepTh,0.081,28339,,ca-HepTh,0.154,28339,,ca-HepTh_adj,0.0591278,28339
,cit-HepPh,0.538,1276868,,cit-HepPh,0.475,1276868,,cit-HepPh_adj,0.29397,1276868
,cit-HepTh,0.468,1478735,,cit-HepTh,0.427,1478735,,cit-HepTh_adj,0.224829,1478735
,cit-Patents,22.151,7515023,,cit-Patents,5.049,7515023,,cit-Patents_adj,8.37803,7515023
,email-Enron,0.293,727044,,email-Enron,0.249,727044,,email-Enron_adj,0.169992,727044
,email-EuAll,0.341,267313,,email-EuAll,0.241,267313,,email-EuAll_adj,0.210047,267313
,facebook_combined,0.213,1612010,,facebook_combined,0.403,1612010,,facebook_combined_adj,0.115871,1612010
,flickrEdges,5.799,107987357,,flickrEdges,3.157,107987357,,flickrEdges_adj,8.62598,107987357
,loc-brightkite_edges,0.283,494728,,loc-brightkite_edges,0.249,494728,,loc-brightkite_edges_adj,0.149012,494728
,loc-gowalla_edges,1.156,2273138,,loc-gowalla_edges,0.698,2273138,,loc-gowalla_edges_adj,0.668049,2273138
,oregon1_010331,0.087,17144,,oregon1_010331,0.134,17144,,oregon1_010331_adj,0.0391006,17144
